"filename", "language", "CSV", "Markdown", "JSON", "JSON with Comments", "C++", "C", "comment", "blank", "total"
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_not_sent_rundown.cpp", "C++", 0, 0, 0, 0, 17, 0, 1, 5, 23
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_not_sent_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_responded_rundown.cpp", "C++", 0, 0, 0, 0, 17, 0, 1, 5, 23
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_responded_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_rundown.cpp", "C++", 0, 0, 0, 0, 17, 0, 1, 5, 23
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/neei_rundown.cpp", "C++", 0, 0, 0, 0, 34, 0, 4, 9, 47
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/neei_rundown.hpp", "C++", 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/nvs_deleted_rundown.cpp", "C++", 0, 0, 0, 0, 13, 0, 1, 6, 20
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/nvs_deleted_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/qrcode_rundown.cpp", "C++", 0, 0, 0, 0, 19, 0, 2, 7, 28
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/qrcode_rundown.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_amend_rundown.cpp", "C++", 0, 0, 0, 0, 142, 0, 26, 31, 199
